HYBAS_ID,P_mm_yr,ET_mm_yr,runoff_mm_yr,T_degC,GWS_mm,region,SUB_AREA_km2,relief_m,mainstem_km,gradient_m_per_km
1060015730,76.76303,52.63573,0.7559881,21.271156,313.04456,af,5918.9,1377.0,95.3,14.449108079748163
1060015850,60.105713,36.55502,0.6286594,22.479717,355.47476,af,5118.9,1652.0,153.76999999999995,10.743317942381482
1060015860,55.5579,21.493547,0.7112349,20.837454,262.40353,af,22659.2,1027.0,60.40000000000001,17.003311258278142
1060016760,184.30656,96.135284,2.5404248,24.838652,398.16818,af,16814.8,2357.0,422.33,5.580943811711222
1060016770,91.42124,19.59934,0.7348534,23.968409,373.9342,af,3965.9,1426.0,135.33,10.537205349885463
1060016850,295.78165,192.1833,6.310484,24.636274,374.33038,af,29452.0,2441.0,459.01000000000016,5.317966928825078
1060016860,178.40884,108.87682,3.2512116,24.05905,332.60306,af,25185.5,2518.0,340.97,7.384813913247499
1060017350,325.8341,256.9139,11.586653,24.422869,399.5703,af,29440.6,2554.0,485.60999999999984,5.259364510615517
1060017360,58.411476,24.563637,0.77084124,22.213076,518.0474,af,705.7,455.0,38.46,11.830473218928757
1060017390,243.16896,159.04987,4.184219,23.877474,427.27948,af,16730.0,1649.0,308.7399999999998,5.341063678175813
1060017400,70.620514,22.3008,0.19539772,21.904318,702.65497,af,1104.5,894.0,56.62000000000001,15.789473684210524
1060017450,105.32838,53.376408,0.60302997,24.362133,556.61676,af,2337.8,1575.0,129.61999999999998,12.150902638481718
1060017460,69.34867,17.174004,0.27189848,22.221441,483.5493,af,827.5,748.0,28.82,25.954198473282442
1060017510,117.23465,77.50269,0.8139563,23.55622,465.79083,af,4175.0,1654.0,123.91000000000004,13.348398030828823
1060017520,119.87666,58.429398,1.639557,20.927874,303.18622,af,3651.3,1339.0,91.45,14.641880809185347
1060017690,241.00732,152.69057,2.6607316,22.89062,417.81708,af,15907.4,1864.0,275.1099999999999,6.775471629530009
1060017700,88.4177,69.93339,2.413364,23.091448,168.16734,af,1222.9,740.0,64.5,11.472868217054264
1060017790,245.36237,176.78778,3.2982147,21.691648,495.40222,af,15123.3,1958.0,304.8400000000001,6.423041595591129
1060017800,105.77747,71.50579,2.4233415,21.168167,384.45447,af,12536.9,1615.0,136.77999999999997,11.807281766340113
1060018110,68.04238,76.59595,3.0459006,24.573816,201.9317,af,6.0,28.0,,
1060018120,387.8781,259.26697,9.585961,23.00191,469.84113,af,29863.7,2072.0,474.4599999999997,4.367069932133377
1060018130,96.73679,79.09753,3.737641,23.558107,221.7451,af,6307.9,841.0,87.1,9.65556831228473
1060018310,316.572,208.52248,5.4768844,23.420845,502.7148,af,19893.8,1930.0,370.34,5.211427337041638
1060018320,157.11102,79.59068,3.2406397,24.627003,388.39453,af,2393.4,507.0,58.81000000000001,8.62098282604999
1060018410,436.7817,318.66385,9.429521,24.789948,524.8129,af,10720.0,2057.0,280.48999999999995,7.3335947805625885
1060018420,464.05,357.9542,9.500871,24.356215,773.3471,af,27419.2,2489.0,241.23000000000008,10.317953820005801
1060018860,867.61633,616.0868,26.258314,22.3829,1264.7748,af,15674.1,2406.0,283.0300000000001,8.50086563261845
1060018870,631.32153,425.92136,18.321215,22.922392,1037.4714,af,5622.3,1571.0,152.48000000000005,10.302990556138509
1060019010,1203.0092,881.4006,70.003174,20.148186,1130.6193,af,16712.8,2578.0,325.4199999999999,7.922069940384736
1060019020,1031.0132,780.96643,62.8214,21.191322,755.30237,af,18946.2,2596.0,201.22,12.901302057449561
1060019180,1211.5912,1041.2736,103.61228,19.928799,1307.6552,af,22907.8,2609.0,433.31000000000006,6.02109344349311
1060019190,656.92126,556.4879,83.646614,26.251844,600.9949,af,1081.2,241.0,47.81,5.040786446350134
1060019270,1002.3465,858.04926,81.58331,22.255936,1031.6516,af,22892.1,2099.0,397.23,5.284092339450696
1060019280,646.8374,343.97806,21.95776,27.280474,567.73706,af,3212.6,292.0,95.92000000000002,3.044203502919099
1060019420,711.44977,507.27267,42.946438,27.073942,763.23706,af,6494.9,445.0,179.13000000000005,2.4842293306537147
1060019430,557.9498,313.97382,14.083541,27.561363,348.47858,af,1492.2,175.0,60.56,2.8896961690885066
1060019510,956.61615,849.9508,50.622158,24.366392,1271.323,af,11025.6,1533.0,331.19000000000005,4.628762945741115
1060019520,570.47797,83.13561,1.82257,26.638075,134.98753,af,183.3,159.0,11.5,13.826086956521738
1060019540,1061.005,944.0467,53.464966,23.332277,1359.0801,af,11444.1,1476.0,329.7399999999999,4.476254018317464
1060019550,801.2195,707.08417,28.422472,24.48615,954.8935,af,7715.2,1086.0,156.76,6.92778770094412
1060019670,1102.4329,956.7164,45.896244,23.509544,1573.1698,af,13488.6,1315.0,319.26999999999987,4.118770946221068
1060019680,733.3119,702.59204,24.250147,25.112768,1066.177,af,3780.2,736.0,138.46,5.3156146179401995
1060019800,1172.2993,1033.1948,81.87111,23.592247,1685.0144,af,19510.1,1342.0,379.15000000000015,3.539496241593036
1060019810,881.79456,1168.8319,109.80955,25.511003,1180.7814,af,7511.1,685.0,140.67,4.869552854197768
1060020040,999.005,1002.1701,71.04423,25.561281,1357.4587,af,11060.5,644.0,138.58999999999997,4.646799913413667
1060020050,1224.995,994.43555,81.24041,25.225323,805.7353,af,20434.1,888.0,242.82,3.657029898690388
1060020240,1369.6306,1308.7516,213.53012,25.344917,859.08167,af,13626.9,849.0,208.01,4.081534541608576
1060020250,1519.0939,1316.4677,333.29083,24.99838,896.29956,af,9219.7,923.0,113.51999999999998,8.130725863284004
1060020420,1580.0312,1482.3004,303.92712,25.288246,1244.7737,af,25074.9,971.0,548.2400000000001,1.7711221362906753
1060020430,1881.0522,154.22116,5.697897,26.294268,124.036156,af,393.7,177.0,13.66,12.957540263543194
1060020450,1770.8408,1509.9169,236.63475,25.8584,1082.0492,af,4482.8,832.0,169.28000000000006,4.9149338374291105
1060020460,1897.8009,555.3887,197.66747,25.052979,346.6749,af,505.7,81.0,14.12,5.736543909348441
1060020490,1877.5537,1694.8793,522.25037,25.42827,1144.946,af,3750.3,170.0,135.23,1.2571175035125344
1060020500,1980.4536,1393.2479,67.1408,26.643427,1373.9396,af,232.5,68.0,18.06,3.7652270210409737
1060020520,2009.1729,1795.025,295.5907,26.320274,1464.6516,af,9070.2,686.0,235.44000000000008,2.9136935100237835
1060020530,1990.5565,849.267,62.579407,26.659472,839.46234,af,299.5,43.0,23.15,1.857451403887689
1060020570,2057.8794,1818.7273,535.5454,26.402393,1625.2134,af,10653.5,639.0,197.44,3.236426256077796
1060020580,2163.6772,1753.636,695.32025,25.77971,1542.2173,af,19159.5,931.0,239.37,3.889376279400092
1060021110,2242.7686,1656.5555,1256.6378,24.64815,1622.5449,af,7432.8,1144.0,172.16,6.644981412639406
1060021120,2655.1873,1331.2382,1332.8806,23.349554,801.3808,af,1959.2,484.0,46.27,10.460341473957211
1060021220,1829.2574,1596.2032,919.0576,24.066679,1911.5085,af,13559.5,1219.0,380.23000000000013,3.2059542908239744
1060021230,2213.749,1645.9581,1301.0312,23.401543,1239.1761,af,2086.0,855.0,62.48,13.68437900128041
1060021340,1817.828,1517.6089,1049.4039,24.730247,1913.3687,af,5366.7,1077.0,135.76,7.933117265763112
1060021350,1974.7764,1464.1825,940.09625,25.290112,1810.5679,af,9968.4,1104.0,209.43000000000006,5.271451081506945
1060021440,1632.3003,1332.9758,474.5807,24.935955,1866.5917,af,27887.0,1243.0,671.2999999999997,1.8516311634142717
1060021450,3010.6921,1952.1561,929.4125,25.619143,838.97076,af,342.9,83.0,26.18,3.1703590527119943
1060021500,1731.2311,1477.9694,558.383,25.549675,1786.6519,af,10758.4,1285.0,258.4200000000001,4.972525346335422
1060021510,2893.2705,1025.6282,674.93945,25.410921,498.22247,af,1114.9,123.0,41.96,2.931363203050524
1060021570,2164.3452,1567.723,878.2707,26.146551,1426.2426,af,2759.2,1248.0,149.8400000000001,8.328884143085954
1060021580,2791.4897,918.9628,417.14972,27.153673,474.7748,af,181.5,59.0,16.490000000000002,3.5779260157671318
